date,new_cases (USA),new_deaths(USA),people_vaccinated(USA),new_cases(India),new_deaths(India),people_vaccinated(India)
22-01-20,,,,,,
23-01-20,0,,,,,
24-01-20,1,,,,,
25-01-20,0,,,,,
26-01-20,3,,,,,
27-01-20,0,,,,,
28-01-20,0,,,,,
29-01-20,1,,,,,
30-01-20,0,,,1,,
31-01-20,2,,,0,,
01-02-20,0,,,0,,
02-02-20,0,,,1,,
03-02-20,3,,,1,,
04-02-20,0,,,0,,
05-02-20,0,,,0,,
06-02-20,1,,,0,,
07-02-20,0,,,0,,
08-02-20,0,,,0,,
09-02-20,0,,,0,,
10-02-20,0,,,0,,
11-02-20,1,,,0,,
12-02-20,0,,,0,,
13-02-20,1,,,0,,
14-02-20,0,,,0,,
15-02-20,0,,,0,,
16-02-20,0,,,0,,
17-02-20,0,,,0,,
18-02-20,0,,,0,,
19-02-20,0,,,0,,
20-02-20,0,,,0,,
21-02-20,2,,,0,,
22-02-20,0,,,0,,
23-02-20,0,,,0,,
24-02-20,0,,,0,,
25-02-20,0,,,0,,
26-02-20,0,,,0,,
27-02-20,1,,,0,,
28-02-20,0,,,0,,
29-02-20,8,1,,0,,
01-03-20,7,0,,0,,
02-03-20,23,5,,2,,
03-03-20,19,1,,0,,
04-03-20,33,4,,23,,
05-03-20,77,1,,2,,
06-03-20,53,2,,1,,
07-03-20,166,3,,3,,
08-03-20,116,4,,5,,
09-03-20,75,1,,4,,
10-03-20,188,6,,13,,
11-03-20,365,5,,6,1,
12-03-20,439,10,,11,0,
13-03-20,633,8,,9,1,
14-03-20,759,7,,20,0,
15-03-20,234,12,,11,0,
16-03-20,1467,27,,6,0,
17-03-20,1833,37,,23,1,
18-03-20,2657,60,,14,0,
19-03-20,4494,72,,38,1,
20-03-20,6367,106,,50,1,
21-03-20,5995,103,,86,-1,
22-03-20,8873,128,,66,3,
23-03-20,11238,189,,103,3,
24-03-20,10619,241,,37,0,
25-03-20,12082,336,,121,2,
26-03-20,17856,416,,70,8,
27-03-20,18690,526,,160,0,
28-03-20,19630,674,,100,4,
29-03-20,18899,592,,37,3,
30-03-20,22075,711,,227,5,
31-03-20,26314,1082,,146,3,
01-04-20,32286,1285,,601,23,
02-04-20,32222,1515,,545,14,
03-04-20,32307,1430,,24,0,
04-04-20,32386,1565,,515,14,
